Frame,Right Shoulder x_mean,Right Shoulder x_std,Right Shoulder x_min,Right Shoulder x_max,Right Shoulder x_auc,Right Shoulder x_peaks,Right Shoulder y_mean,Right Shoulder y_std,Right Shoulder y_min,Right Shoulder y_max,Right Shoulder y_auc,Right Shoulder y_peaks,Right Shoulder z_mean,Right Shoulder z_std,Right Shoulder z_min,Right Shoulder z_max,Right Shoulder z_auc,Right Shoulder z_peaks,Left Shoulder x_mean,Left Shoulder x_std,Left Shoulder x_min,Left Shoulder x_max,Left Shoulder x_auc,Left Shoulder x_peaks,Left Shoulder y_mean,Left Shoulder y_std,Left Shoulder y_min,Left Shoulder y_max,Left Shoulder y_auc,Left Shoulder y_peaks,Left Shoulder z_mean,Left Shoulder z_std,Left Shoulder z_min,Left Shoulder z_max,Left Shoulder z_auc,Left Shoulder z_peaks,Right Shoulder RMS xy_mean,Right Shoulder RMS xy_std,Right Shoulder RMS xy_min,Right Shoulder RMS xy_max,Right Shoulder RMS xy_auc,Right Shoulder RMS xy_peaks,Right Shoulder RMS yz_mean,Right Shoulder RMS yz_std,Right Shoulder RMS yz_min,Right Shoulder RMS yz_max,Right Shoulder RMS yz_auc,Right Shoulder RMS yz_peaks,Right Shoulder RMS zx_mean,Right Shoulder RMS zx_std,Right Shoulder RMS zx_min,Right Shoulder RMS zx_max,Right Shoulder RMS zx_auc,Right Shoulder RMS zx_peaks,Right Shoulder RMS xyz_mean,Right Shoulder RMS xyz_std,Right Shoulder RMS xyz_min,Right Shoulder RMS xyz_max,Right Shoulder RMS xyz_auc,Right Shoulder RMS xyz_peaks,Right Shoulder Roll_mean,Right Shoulder Roll_std,Right Shoulder Roll_min,Right Shoulder Roll_max,Right Shoulder Roll_auc,Right Shoulder Roll_peaks,Right Shoulder Pitch_mean,Right Shoulder Pitch_std,Right Shoulder Pitch_min,Right Shoulder Pitch_max,Right Shoulder Pitch_auc,Right Shoulder Pitch_peaks,Left Shoulder RMS xy_mean,Left Shoulder RMS xy_std,Left Shoulder RMS xy_min,Left Shoulder RMS xy_max,Left Shoulder RMS xy_auc,Left Shoulder RMS xy_peaks,Left Shoulder RMS yz_mean,Left Shoulder RMS yz_std,Left Shoulder RMS yz_min,Left Shoulder RMS yz_max,Left Shoulder RMS yz_auc,Left Shoulder RMS yz_peaks,Left Shoulder RMS zx_mean,Left Shoulder RMS zx_std,Left Shoulder RMS zx_min,Left Shoulder RMS zx_max,Left Shoulder RMS zx_auc,Left Shoulder RMS zx_peaks,Left Shoulder RMS xyz_mean,Left Shoulder RMS xyz_std,Left Shoulder RMS xyz_min,Left Shoulder RMS xyz_max,Left Shoulder RMS xyz_auc,Left Shoulder RMS xyz_peaks,Left Shoulder Roll_mean,Left Shoulder Roll_std,Left Shoulder Roll_min,Left Shoulder Roll_max,Left Shoulder Roll_auc,Left Shoulder Roll_peaks,Left Shoulder Pitch_mean,Left Shoulder Pitch_std,Left Shoulder Pitch_min,Left Shoulder Pitch_max,Left Shoulder Pitch_auc,Left Shoulder Pitch_peaks,Class
22309,0.12138633558333335,1.4863068919239455,-2.501267827,9.343493344,7.593459545999999,21,0.4283113128166666,1.476881539669952,-4.848669838,4.133000802,25.503518370500004,18,0.05365600023333337,0.9304787284959959,-2.375322316,4.386774869,3.1316538879999998,19,0.054943503083333324,1.2547890724865995,-2.340020069,6.784934358,3.3331504835,19,0.3113915054833333,1.4164036306784398,-2.130281297,5.477164865,18.354027119500003,18,-0.16401377853333335,1.2665080984873467,-8.719101472,2.032660056,-5.568742069000001,18,1.0796866252631034,1.062314940309025,0.054482040269148,6.688807965504356,64.48743194278127,18,0.956153885601917,0.8381046436889316,0.0653938226580146,3.6565674989850327,57.16919617361298,17,0.7740060669648211,0.9732270204312121,0.060219274281077,7.298789681195858,46.11730380571307,19,0.987371501868172,0.9187735783445102,0.0930074829059628,6.0200802251043966,58.95494679487542,18,11.381427632223824,47.19741936349212,-87.92121672141523,81.14527978946012,658.30986211813,17,2.1871923797785793,37.81197627404167,-73.78089573290127,83.339082367193,163.23561928597906,21,0.9820868070471797,0.9358657292840791,0.0856721786836503,6.165819864412167,58.15907785468323,19,0.9140521011685832,1.0156585820214525,0.0291846896267508,6.170151637981348,51.63089627417123,18,0.7813490163846206,0.9968563380034349,0.044370125796427,6.211475311652094,43.4178064666859,17,0.9417844823996258,0.9399907036536256,0.0708480161177294,5.075551302957548,53.66370588974295,18,3.0926096334075455,50.21095397132843,-78.50560721224203,78.86267983623233,175.79894940010806,17,4.029343006955711,39.719100624890714,-85.62624763740457,80.23923448784653,210.18239452883532,19,0
30277,0.18674315003333333,1.0648274502933246,-2.632629087,3.400086003,12.783752593000003,22,-0.12488344619999997,1.3896786273057844,-6.688780137,4.048833826,-6.200469403,21,-0.15085708478333335,0.6872224702563854,-2.648136388,1.181279288,-7.632720926,22,0.1600012910333333,1.0974935181640424,-3.085183705,3.141862431,11.364415533999999,19,-0.05599175688333333,1.5333827654658383,-6.186130465,4.076336927,-1.2787061275000005,19,-0.027556079100000023,0.6441889287257444,-2.566638471,1.722374705,-1.6009098190000004,21,0.9304654888681068,0.8318656782674416,0.0098367958366749,4.729708185555489,54.114189776078376,21,0.7522118357570997,0.809379346868253,0.0183342237079765,5.0868657369039845,43.65566819835715,20,0.714589096767899,0.5667838795334805,0.0203197892902882,2.417048734858412,41.32884465224781,19,0.8381978685383782,0.7077755408073959,0.0353770680442031,4.153428518323582,48.668276292338824,19,4.668719596035023,45.086539308475636,-82.50419253080636,82.0372657652838,314.38739853244584,20,5.330890083417665,44.364433718200935,-75.83858239034794,88.36862896804415,353.9064609393226,21,1.0200128086634561,0.8670749558532814,0.0617940909796435,4.461512261136138,59.235024137230255,19,0.8435970091654481,0.8206170446404807,0.0797822179426313,4.735812663673381,48.87452196597879,19,0.6777404767657117,0.6029787895272023,0.0420552825305821,2.498492857506437,39.11900807307396,19,0.882838895082981,0.7443152081354457,0.0651672108638414,3.9326757792184113,51.20132046744949,19,5.431694957887541,50.093985602943555,-81.53333101269233,82.2761006769053,369.06791338214566,19,4.0990850215979995,39.90192711342609,-67.91426763511194,85.30144131554663,281.9335960954741,18,0
54364,0.16074145531666664,1.4700528493696388,-5.50248144,4.575421118,9.758678202999999,19,0.14356157526666663,1.0121938495356848,-3.422790892,2.88222415,8.9193432375,19,0.2559081143,0.7987347096766696,-1.954582353,2.973612663,15.503068651,21,0.13069799665,1.357829438857524,-5.523713009,3.114872644,7.870930292000002,20,0.08707795858333331,0.9287682206761945,-2.938665797,2.744992182,5.484181360999998,20,0.06416867070000001,0.57002614982186,-2.27223697,2.109905592,3.9173793424999994,20,0.9459138472975638,0.849274248199447,0.0350737605764018,3.954074075662134,56.50031061282415,18,0.7275890001086311,0.5872992883443735,0.0269243543368237,2.432595306132701,43.40239591713479,20,0.8570703695877995,0.8429768851971072,0.0145669502146938,4.422650464772139,51.27000531741359,22,0.8822355612243723,0.7304078434382245,0.0318259286599227,3.656582004240239,52.70254077812052,21,4.647628049880141,42.303230980247164,-80.36874704936264,83.48708495430526,338.107105660574,18,4.0059231071408945,44.26830697830397,-74.61171066634226,80.98003390984896,253.30234490571536,18,0.8434205095579205,0.8087828565442158,0.0594202498633587,3.934788120104096,50.408653406689474,16,0.5631647613447879,0.5314749813246807,0.0099819886379976,2.199947503220768,33.5995919682158,17,0.7337298316242975,0.7460265576726344,0.0147623772202983,3.907760598475004,43.945435410187066,21,0.7538381547627047,0.6721129044581591,0.0608670571069763,3.214285585964438,45.06478218701663,16,0.5861320191582694,39.343438671846194,-85.96130048076418,70.75156007061466,100.36771075087643,19,6.143601384035237,49.14962962177066,-89.25815474007187,83.21583276791345,378.0428751762099,18,1
63883,0.11537982569999997,1.1289253352587307,-2.792245883,4.130158303,6.335311364000001,21,0.19670010913333336,1.2163504905258162,-3.704656609,3.888625724,11.914964759999998,19,-0.09805841870000001,0.5794252062804776,-1.694277154,1.665322519,-6.619805971999999,16,0.11949275096666666,1.0705557747463752,-2.183621992,4.054704498,6.836723195000001,20,0.10617247345000001,1.2187876133919209,-4.362250392,3.758577307,6.433779684,21,-0.15874375338333332,0.8790062842400586,-4.946468611,2.618968234,-9.8181364475,18,0.9036449771911634,0.765779301070949,0.0434008096083407,3.457079046032084,53.43002613393525,18,0.6954873054165933,0.6693815383976875,0.0246693441824967,2.8596734081449786,40.97336096083613,20,0.6904600881653976,0.5829509727326909,0.0076675780503084,2.956370507278515,40.67563433047893,21,0.7991692390073053,0.6416954030606815,0.0363643832145425,2.8946413158442,47.174972622497044,19,7.374442832776925,44.01358143186633,-80.14565864956681,85.17311204639957,424.2921776611797,22,1.5590187750960554,46.60791998082398,-86.79114786906595,79.76248161841772,79.15504077878288,20,0.8720211630849757,0.753738086909608,0.0523766746889488,3.439326634692456,51.69570651947905,18,0.7131249959923516,0.7992099060414686,0.0410655366076667,4.149816874149231,42.26541502899342,20,0.6885022646703038,0.7106859624460942,0.0365813097025677,3.91253393295782,40.87033789114131,19,0.7928575459054744,0.7232026889068853,0.0442608410425407,3.67832625032237,47.03167347315878,18,2.9331196134254323,45.18576500632682,-86.56394534579184,84.85082395884262,165.2214846832167,23,0.07461207788288622,46.20906041620784,-76.49723226085442,81.84696452053778,-11.273110476900474,20,1
38290,0.04070919945,1.0403895723400252,-3.297718262,3.668373174,1.4116440735,18,0.41295196828333336,1.1384979090110126,-2.2779797,4.2109421,23.8026087815,20,-0.020604517566666664,0.6353077291210976,-1.641368853,2.139415825,-0.8527328280000002,19,-0.03826539505000001,0.9869639203887154,-2.845113216,2.316836627,-3.2049067170000005,19,0.35369964786666674,1.0950952226212198,-2.131150804,4.531663384,20.70553858,19,0.04760221831666668,0.7230733223311097,-1.816668525,3.518219857,2.6393778174999993,21,0.8539022542164127,0.739079291610009,0.0893475239091585,3.948986902565976,50.207459167036866,18,0.707394291625729,0.6595202446124587,0.0819578419590841,3.123332240569133,41.325119603059925,19,0.6730413905983998,0.5395084480625051,0.0218393197328089,2.760012404331512,39.19957777408656,18,0.7793863190761099,0.6144064539107061,0.1090065124741597,3.314984681396484,45.64395081362326,18,15.099849459465187,41.55514912857412,-87.60383269238791,85.26439605620276,876.0881314251399,19,-0.4717553458988932,43.23948616629996,-77.51558480537341,82.67228805060512,-62.85028059162042,18,0.842509319276098,0.6634210962812649,0.031151010106698,3.376369998619646,49.70281413942407,17,0.7007970705083154,0.6584849732903425,0.086848988218202,3.383436618455224,41.509196423184015,17,0.6774467829987216,0.5398123440939349,0.0042152876384322,2.978724804207149,39.93174097327993,18,0.7673433667264233,0.5940124806193634,0.0871874783258678,3.027857525422921,45.30864563690384,18,15.331068270270205,41.79278523625117,-88.09523357906592,82.87471156990006,900.0967967495404,19,-2.653271314266294,41.42817788789115,-82.67481735874084,76.96887607695798,-214.77034538821783,18,0
7499,0.1278926410833333,0.9920160535146884,-1.839717655,3.959299204,7.758785616499999,21,0.2670116935666666,1.252940423222731,-4.227198411,5.268105,15.680987440000004,22,0.02882990913333334,0.5151998474882762,-1.535229687,2.308348313,1.3579806065000006,19,0.17977585993333334,0.9535326548944425,-1.588581337,3.866552643,11.225639255000003,20,0.2868390315166666,1.1425153214840826,-3.925288096,4.661127719,17.016800148999998,23,0.05649111973333334,0.6369262278274682,-1.060882377,3.121540929,3.8769528850000006,17,0.8115235878437722,0.813777076190822,0.0479858332025525,4.027016556868519,47.93599291962804,19,0.6496230119559396,0.7291765492094698,0.0193919859214994,3.880068329480237,38.13840519134344,20,0.5590327309946457,0.5664270632394091,0.0109393903479284,2.888867707913996,33.093056076687326,18,0.7120247740276086,0.6799341969990921,0.0675644854683833,3.405419939372748,42.00587542795345,21,21.223739200348565,44.690906776811836,-77.3724441743398,86.255916913959,1256.991515708933,19,0.8158024053552918,43.210839135535586,-84.7242019537843,78.99703243123193,50.62457646459316,23,0.7806585328605531,0.7450859962904037,0.0481177874909181,3.4181631605438145,46.02967361183688,19,0.6340408056194626,0.704439021402632,0.0462898367645358,3.966744848377087,37.17667127446144,21,0.5968405333017607,0.5647888568678595,0.0138629611627493,2.7411230649067524,35.305495345435226,19,0.6986891675362095,0.6515439052481523,0.040828770995538,3.3222330118771994,41.16971273968451,20,18.600136706145275,42.3031388443571,-72.62695429127403,87.42287227189725,1104.6017296178775,22,2.9424321647270477,43.612169506215004,-72.22656154963067,79.85827891627497,196.16650553993014,23,0
58299,0.21735603116666663,1.1233351226382187,-3.982353541,4.079026972,12.307637190499998,20,0.2733924815499999,1.173496497293895,-3.633366677,4.163983629,15.1041505985,15,-0.07984896138333333,0.8376435565895393,-4.551909636,0.985086171,-4.535633249499999,20,0.1605973409833333,0.9843496947617577,-4.365305257,2.642156327,8.946205603000003,20,0.14706230801666667,1.1761587920320487,-3.803388736,3.984526947,7.6382861345,16,0.08818509531666666,0.49555739653123726,-1.13320282,1.741320079,4.841789745499999,19,0.8532397880435006,0.8077520189901165,0.0466903906304788,4.074180861725167,50.11210867840207,18,0.7128939897435587,0.756116519272691,0.038959637295745,4.3622609388303255,41.83725302779158,20,0.6773768759997814,0.7414408817595203,0.0232274006716431,4.276623730223697,40.08910469322086,17,0.7702700372069303,0.7503416364207987,0.040920454778065,4.239409578483183,45.31996853546114,17,7.479302430036011,43.589500042577995,-84.19557762139738,71.16039530993733,404.58798503142833,16,11.603491929690186,41.24574740196398,-59.65113915941638,76.41265322848916,651.7970231313367,21,0.7818591740164289,0.7671717923759495,0.0102934714854839,3.3806393661314478,45.916284444823695,18,0.6467417843662047,0.6410072930614514,0.0068879665596723,3.0747886601275307,37.90561089429495,19,0.5584311743962425,0.5587480732522382,0.0100763403591785,3.137597858735733,32.9190918032176,15,0.6934763837524829,0.6351739693048732,0.0092183200491131,2.9376657777450808,40.75554620328124,17,6.9267172578234835,45.05564599270007,-85.94950136899158,86.74280530447272,373.50995393922943,14,7.759857899864389,40.2533361857294,-74.44898334174613,78.71586565094015,424.02230774387107,20,1
67607,-0.038082083216666666,1.1636409000218468,-6.387655563,2.569281114,-2.6192077265,17,-0.15273319915000003,0.8443810171016471,-3.3402221,2.952815521,-9.458400548999998,19,0.04577401678333336,0.6241865990514133,-1.632546806,1.818208628,3.3285806825,17,-0.062055312749999994,1.0284035289730438,-4.821709081,2.664926687,-4.0515089264999995,16,-0.08699910116666666,0.8750064941475683,-2.896063259,3.74722432,-5.544993848500002,18,-0.07229613689999999,0.5618529346898217,-1.53065951,1.723644099,-3.9161938105,18,0.6727789386943975,0.7702448054769538,0.0318490288499539,4.976005581416853,39.937233583451956,18,0.5251053244002286,0.536907673527357,0.0042183110969733,2.689141711797842,31.036851327250154,17,0.6265026620964159,0.6936149468854579,0.0271945205831144,4.643409035462925,37.04444463645362,17,0.6363915347780472,0.6502662879842268,0.0260117593551701,4.156986666737336,37.69348978023968,17,-7.538144719473579,38.704410754257744,-77.80802033239617,78.78365903155533,-475.25508558728615,19,0.18578775980226017,45.6350861112715,-84.86603180447108,82.39107731480544,-10.704536669786087,16,0.629365829513782,0.7219650940072501,0.0345131319622011,3.4384965799247325,37.42904437238489,18,0.5038612040645338,0.541460263598231,0.0146236109212619,2.862220173218065,29.803415994694255,19,0.5487161540522976,0.6245763750091133,0.0170199759039537,3.5085581786240168,32.51016567125759,20,0.5842115574479628,0.614183986742258,0.1011407913462801,2.887767302726524,34.654766609043,20,-5.214206719928203,41.57589148144612,-83.22715499419643,80.40948514047467,-355.19162311101434,21,-3.163297831270532,44.34241559909323,-87.09171586362567,81.50090575852278,-216.53126500330396,19,1
7873,0.2724484755333333,0.9836477479742436,-2.463054311,3.855081245,16.394022660499996,22,0.3177179561666667,0.948899927389105,-2.303262602,3.072547247,19.578186443499998,21,-0.0244852742,0.5470799835000711,-1.602813592,1.436383688,-1.4489498520000004,22,0.11230609143333334,0.9664166802841598,-3.263858359,1.983269104,6.734020936499999,20,0.30940442863333334,0.9561720255926226,-2.115550143,4.181153151,19.142200390000003,19,-0.19252059598333335,1.2936703371524823,-8.742315903,1.072648328,-11.382484511499998,19,0.7686631869595271,0.6563004821769739,0.0152723390474455,3.1754267444961286,45.752759624293624,22,0.5927955154810363,0.5470094891864331,0.0127342655606561,2.213215206862094,35.17884583359005,22,0.6375632638076313,0.5141562360801663,0.0275801819182619,2.742024743962174,38.11028649480534,22,0.6991330117946681,0.5405805423310658,0.0259837135710895,2.603998080309934,41.62829041617391,22,8.74711692913093,39.7542853616144,-74.74137623909576,80.8943417911734,593.3257718263982,21,13.47657833454653,47.37959434924932,-79.45352294965558,84.55469251091077,813.5069292584018,23,0.769275345861463,0.6216915576022243,0.0205213222764806,3.127097667411117,45.74498145952717,23,0.7161194057756007,0.9205946875343713,0.0113196964917317,6.181858347258007,42.53157728317589,21,0.7443753100114363,0.8800658426791824,0.0193003339978239,6.189229711802966,44.528044808735594,21,0.78736341344214,0.7761858857499978,0.0180184928198375,5.053572556591674,46.883968632514375,22,6.803384455191514,41.836541742714836,-82.83462568859012,74.11454077365883,480.04571581038056,20,4.606089174551629,45.15897677951892,-86.47441039589958,75.73953072538036,275.99369773901765,19,0
42302,0.10581949023333333,0.9335355189288568,-1.44803105,5.197300038,6.3162860840000015,19,0.22523924218333324,1.0208941180825597,-2.536079917,4.083957465,13.5366753935,18,0.09220955521666667,0.4864129079670985,-0.735343367,1.700388012,5.5028590264999995,20,0.04480764526666663,0.8948484946881916,-2.090669405,4.689004589,2.608205008,20,0.3157655738500001,1.0301315147382548,-1.898832538,3.795612381,18.963172707499997,17,-0.09445861655000001,0.5186935722373498,-1.966073753,1.296970217,-5.7119784125,19,0.6659024224452504,0.737831882522366,0.0239782584016746,4.265065721137539,39.88458589515135,22,0.5500546251948335,0.6053666055658741,0.0221555494059177,2.9652344194628824,32.96007669532884,19,0.49896080852881197,0.5611874338533543,0.0253167914560985,3.7506034698783663,29.87480805345535,21,0.5960201792576635,0.6204900759435118,0.0260573818773789,3.5357081470231404,35.70158636138877,20,5.107361166930712,45.06982749008771,-75.31679472351337,80.34188831815355,306.34032750153307,19,-2.9307952652665796,41.50365997541059,-83.11910838654855,78.101793221494,-172.78998095923188,17,0.6717457039526954,0.7284077866305426,0.0309915681686769,4.2112414701461,40.21949558347487,20,0.5738140030219594,0.6246275959635723,0.0265791501422949,2.836265598510259,34.376832929091044,19,0.5020981824354407,0.5368993555737437,0.0170448867940947,3.354317376004689,30.04607021206092,20,0.604559946597407,0.6178262036735793,0.0255437969356157,3.4633911860115507,36.19905195673411,21,7.10079943292477,45.61067219122345,-85.71504060305078,76.37211889128103,407.32529251252197,19,-1.4941968936257533,40.922338503127676,-87.08910797406239,80.77955457948927,-103.34490123434209,17,0
