image_name,confidence_value,iou_value
IMG_20180724_121957.jpg,0.6288273334503174,0.8828441842905443
IMG_20100101_033101.jpg,0.9003828763961792,0.8772760064176904
IMG_20180810_085645.jpg,0.0,0.0
IMG_20180724_124841.jpg,0.6569821834564209,0.9121751369372095
IMG_20180713_105001.jpg,0.7388736009597778,0.9265628986138471
IMG_20100101_021624.jpg,0.8839872479438782,0.9252707999878494
IMG_20180725_122619.jpg,0.813615083694458,0.963599585275943
IMG_20180811_083610.jpg,0.40546414256095886,0.8673235050938625
IMG_20180723_123653.jpg,0.7811755537986755,0.8656317349510082
IMG_20180717_122331.jpg,0.0,0.0
IMG_20180724_121406.jpg,0.9131962060928345,0.9384752816875576
IMG_20180723_123939.jpg,0.7622302770614624,0.9479572977182686
IMG_20180717_120957.jpg,0.8678544759750366,0.8582354766646918
IMG_20180714_103316.jpg,0.7813462615013123,0.9816447252944644
IMG_20100101_032102.jpg,0.7071009874343872,0.9043390276820185
IMG_20180724_122525.jpg,0.7608684301376343,0.8507251943809756
IMG_20180726_122652.jpg,0.8590138554573059,0.9003409757059891
IMG_20180725_122231.jpg,0.8743951320648193,0.9037629793710411
IMG_20180723_145854.jpg,0.7988059520721436,0.8491788825106634
IMG_0211.JPG,0.5346140265464783,0.7505254833725169
IMG_20180717_095144.jpg,0.8905764222145081,0.9572546497255213
IMG_20180720_142458.jpg,0.7995484471321106,0.8893456745747924
IMG_20180810_092905.jpg,0.910201907157898,0.9375846971908136
IMG_20180719_123848.jpg,0.8174551725387573,0.7349268844708923
IMG_1297.jpg,0.6042298674583435,0.8485964244868902
IMG_20100101_032317.jpg,0.8938539028167725,0.9168578205926917
IMG_20180724_121243.jpg,0.8017495274543762,0.9240890765861045
IMG_20180725_120946.jpg,0.9044805765151978,0.9500734916250493
IMG_20100101_033337.jpg,0.8726240396499634,0.9497890513677167
IMG_20180723_145353.jpg,0.7866710424423218,0.9356397587093791
IMG_20180719_124651.jpg,0.7520854473114014,0.5786762896989641
IMG_20180724_121924.jpg,0.9237533211708069,0.9472338370337539
IMG_20180724_125230.jpg,0.25863146781921387,0.7730385129307182
IMG_20180724_150507.jpg,0.5204901099205017,0.5779119622803663
IMG_20180725_120338.jpg,0.8969125747680664,0.9467263329777255
IMG_20100101_031805.jpg,0.8823305368423462,0.9081072314980864
IMG_20180723_123340.jpg,0.8709883689880371,0.962028814211348
IMG_20180714_102729.jpg,0.8493471145629883,0.936417187982573
IMG_20180714_105021.jpg,0.8543349504470825,0.9622688911204424
IMG_20180726_122312.jpg,0.5873907804489136,0.9489896019348577
