Site Id,Sector id,Carrier Number DL (earfcn),Average User Throughput in DownLink (Mbps),Average DL PDCP Throughput (Mbit/s),Average UL PDCP Throughput (Mbit/s),Intra Frequency Handover Success Rate (%),Inter Frequency Handover Success Rate (%),Cell Availability,Scell Traffic Volume,Number of CSFB to GSM,DC_E_ERBS_EUTRANCELLFDD.pmPagDiscarded,Maximum Number of Users in a Cell,CA capable DL UE Payload(GB),PS E-UTRAN RRC Setup successful Ratio (%),DC_E_ERBS_EUTRANCELLFDD.pmCellDowntimeMan,IRAT/Session Continuity to 2G,PS Drop Call Rate_NUM,PS Drop Call Rate_DENOM,DL User Throughput(Mbps)_DENOM,Average User Throughput in UpLink (Mbps)_NUM,Average User Throughput in UpLink (Mbps)_DENOM
0,0,0.0,0.0543596373606601,0.6719683220690237,0.5525336605512231,0.9698703026,0.9875403784,1.0,0.2017459747966394,0.1242113193332705,0.0,0.1129441624365482,0.3293729072173054,0.9997654824,0.0,0.1200607902735562,0.0657894736842105,0.2527421116964314,0.0635516352560251,0.2285213690910558,0.0670198607032907
0,1,0.0,0.046068991139481,0.5782772358017829,0.4302091996763742,0.981265012,0.9928571429,1.0,0.2008042207071284,0.145588096807609,0.0,0.1002538071065989,0.465248183684712,0.9994136718,0.0,0.2241641337386018,0.053453947368421,0.1976591993250186,0.063060725476369,0.1892237821346487,0.0906376670646873
0,2,0.0,0.0307379833651503,0.5755861493302717,0.553862899650697,0.9910871976,0.9974958264,1.0,0.134880948580613,0.0879555513701855,0.0,0.0901015228426395,0.3349102468324146,0.9983419072,0.0,0.0281155015197568,0.0740131578947368,0.1714063192964617,0.1073781018063577,0.1859257907025785,0.0611347710843729
0,0,1.0,0.063660123302336,0.5151302503137208,0.3238103094593634,0.9822788518,0.9852050892,1.0,0.2188957556008617,0.3586966757698465,0.0,0.131979695431472,0.6012601072562441,0.9996735721,0.0,0.3533434650455927,0.1570723684210526,0.621658896448776,0.0333272943044091,0.1530301026725056,0.0861556551504559
0,1,1.0,0.0604349658383438,0.5260398272458596,0.3121550216331576,0.9789975766,0.979498394,1.0,0.3326884101708914,0.3276203032300593,0.0,0.1205583756345177,0.3498525671539053,0.9997501249,0.0,0.46580547112462,0.1332236842105263,0.4993347539671379,0.0336459794700909,0.1160139674508065,0.0673421110536552
0,2,1.0,0.0433538843672791,0.5632451303327028,0.5253249730189742,0.9902183406,0.9946312964,1.0,0.2447226015235129,0.2116018457481872,0.0,0.1205583756345177,0.3032341456317923,0.9997208766,0.0,0.0934650455927051,0.0707236842105263,0.4609776412430906,0.0626607538943635,0.1413208067614233,0.0421788741939844
2,0,0.0,0.0143016844887319,0.3591928751721141,0.2560039153905026,0.9805413888,0.9980119284,1.0,0.0411337329076137,0.1454939259817308,0.0,0.0901015228426395,0.2210890771531598,0.9990183611,0.0,0.0767477203647416,0.084703947368421,0.1584691769338107,0.1707075779137791,0.1772707780848025,0.1863803435890716
2,1,0.0,0.0283387310320861,0.3721540549982655,0.3146709587226791,0.9793451523,0.9916149068,1.0,0.1042354197117689,0.0439777756850927,0.0,0.0672588832487309,0.237680559348655,0.9983409778,0.0,0.0509118541033434,0.0444078947368421,0.0971881185976829,0.0655740187747041,0.1063306362150748,0.0495118884600908
2,2,0.0,0.0226691621705768,0.3838040777375928,0.2958144999214557,0.9716499544,0.9974019226,1.0,0.0708674391084817,0.0855071098973538,0.0,0.065989847715736,0.224399115719473,0.9986757846,0.0,0.175531914893617,0.0962171052631579,0.1563247049660886,0.098155176647595,0.1404739956547721,0.0914747210566311
2,0,0.0,0.0341241874672756,0.2506322893261254,0.3176998743436908,0.9929381554,1.0,1.0,0.0193098457209769,0.0289104435445898,0.0,0.0253807106598984,0.0392342825979271,0.9993624143,0.0,0.0372340425531914,0.0082236842105263,0.0431869070927125,0.013178130187435,0.0251111990279476,0.0064776762397056
